2008,11,20,AA,Buy,100,
2008,11,28,AA,Sell,100,
2009,01,30,AA,Buy,100,
2009,02,06,AA,Sell,100,
2009,02,04,AA,Buy,100,
2009,02,11,AA,Sell,100,
2009,02,10,AA,Buy,100,
2009,02,18,AA,Sell,100,
2009,03,27,AA,Buy,100,
2009,04,03,AA,Sell,100,
2009,04,06,AA,Buy,100,
2009,04,14,AA,Sell,100,
2008,10,10,AES,Buy,100,
2008,10,17,AES,Sell,100,
2008,10,16,AES,Buy,100,
2008,10,23,AES,Sell,100,
2008,10,24,AES,Buy,100,
2008,10,31,AES,Sell,100,
2008,10,31,AES,Buy,100,
2008,11,07,AES,Sell,100,
2008,11,10,AES,Buy,100,
2008,11,17,AES,Sell,100,
2008,11,19,AES,Buy,100,
2008,11,26,AES,Sell,100,
2008,12,19,AES,Buy,100,
2008,12,29,AES,Sell,100,
2009,01,15,AES,Buy,100,
2009,01,23,AES,Sell,100,
2009,01,30,AES,Buy,100,
2009,02,06,AES,Sell,100,
2009,02,11,AES,Buy,100,
2009,02,19,AES,Sell,100,
2008,09,15,AIG,Buy,100,
2008,09,22,AIG,Sell,100,
2008,11,20,AIV,Buy,100,
2008,11,28,AIV,Sell,100,
2009,02,05,AIV,Buy,100,
2009,02,12,AIV,Sell,100,
2009,05,13,AIV,Buy,100,
2009,05,20,AIV,Sell,100,
2009,05,15,AIV,Buy,100,
2009,05,22,AIV,Sell,100,
2009,07,08,AIV,Buy,100,
2009,07,15,AIV,Sell,100,
2008,02,04,AMD,Buy,100,
2008,02,11,AMD,Sell,100,
2009,12,04,AMD,Buy,100,
2009,12,11,AMD,Sell,100,
2008,07,15,AN,Buy,100,
2008,07,22,AN,Sell,100,
2008,10,13,AN,Buy,100,
2008,10,20,AN,Sell,100,
2009,01,20,AN,Buy,100,
2009,01,27,AN,Sell,100,
2009,01,16,BAC,Buy,100,
2009,01,26,BAC,Sell,100,
2008,10,10,BSX,Buy,100,
2008,10,17,BSX,Sell,100,
